                                              oof_rocauc_score                                                         test_rocauc_score                                                        
                                                          mean t_int_l t_int_h    std                           values              mean t_int_l t_int_h    std                           values
name                                                                                                                                                                                            
lgb_baseline                                            0.8751  0.8626  0.8875 0.0090  [0.863 0.872 0.873 0.880 0.887]            0.8746  0.8711  0.8781 0.0025  [0.873 0.873 0.873 0.877 0.878]
lgb_embeds: embeddings.pickle                           0.8680  0.8520  0.8840 0.0115  [0.853 0.864 0.865 0.876 0.883]            0.8651  0.8615  0.8688 0.0026  [0.861 0.863 0.866 0.867 0.867]
lgb_embeds: embeddings.pickle and baseline              0.8797  0.8628  0.8965 0.0121  [0.863 0.876 0.877 0.889 0.893]            0.8781  0.8737  0.8825 0.0032  [0.874 0.877 0.878 0.879 0.883]
lgb_embeds: embeddings_cpc.pickle                       0.8546  0.8409  0.8682 0.0098  [0.844 0.848 0.851 0.865 0.865]            0.8476  0.8436  0.8516 0.0029  [0.845 0.846 0.847 0.849 0.852]
lgb_embeds: embeddings_cpc.pickle and baseline          0.8744  0.8613  0.8874 0.0094  [0.862 0.869 0.874 0.883 0.885]            0.8717  0.8681  0.8754 0.0026  [0.869 0.869 0.873 0.874 0.874]
linear_baseline                                         0.8347  0.8253  0.8442 0.0068  [0.826 0.831 0.834 0.841 0.842]            0.8370  0.8331  0.8410 0.0028  [0.833 0.836 0.837 0.838 0.841]
linear_embeds: embeddings.pickle                        0.8644  0.8444  0.8843 0.0144  [0.845 0.857 0.863 0.876 0.880]            0.8654  0.8636  0.8672 0.0013  [0.864 0.865 0.865 0.866 0.867]
linear_embeds: embeddings.pickle and baseline           0.8646  0.8468  0.8824 0.0128  [0.849 0.858 0.860 0.876 0.880]            0.8724  0.8699  0.8748 0.0018  [0.871 0.871 0.873 0.873 0.875]
linear_embeds: embeddings_cpc.pickle                    0.8531  0.8362  0.8700 0.0122  [0.837 0.847 0.851 0.865 0.866]            0.8530  0.8499  0.8560 0.0022  [0.851 0.851 0.853 0.854 0.856]
linear_embeds: embeddings_cpc.pickle and baseline       0.8558  0.8390  0.8726 0.0121  [0.842 0.850 0.851 0.866 0.871]            0.8602  0.8574  0.8630 0.0020  [0.858 0.859 0.859 0.862 0.863]
scores: finetuning_scores                               0.8806  0.8745  0.8867 0.0044  [0.874 0.878 0.882 0.884 0.885]            0.8831  0.8804  0.8858 0.0020  [0.881 0.882 0.883 0.884 0.886]
scores: target_scores                                   0.8632  0.8557  0.8707 0.0054  [0.858 0.859 0.864 0.864 0.871]            0.8711  0.8645  0.8778 0.0048  [0.866 0.869 0.871 0.871 0.879]
scores: finetuning_cpc_scores                           0.8711  0.8616  0.8805 0.0068  [0.864 0.866 0.868 0.877 0.879]            0.8728  0.8660  0.8796 0.0049  [0.867 0.870 0.872 0.876 0.879]
xgb_baseline                                            0.8709  0.8568  0.8849 0.0101  [0.858 0.866 0.868 0.879 0.883]            0.8679  0.8632  0.8727 0.0034  [0.864 0.865 0.869 0.871 0.871]
xgb_embeds: embeddings.pickle                           0.8614  0.8478  0.8750 0.0098  [0.849 0.856 0.859 0.871 0.872]            0.8552  0.8503  0.8602 0.0036  [0.849 0.855 0.856 0.857 0.859]
xgb_embeds: embeddings.pickle and baseline              0.8749  0.8592  0.8906 0.0113  [0.861 0.869 0.873 0.881 0.890]            0.8695  0.8663  0.8726 0.0023  [0.867 0.868 0.869 0.870 0.873]
xgb_embeds: embeddings_cpc.pickle                       0.8472  0.8331  0.8612 0.0101  [0.833 0.843 0.847 0.852 0.860]            0.8439  0.8391  0.8487 0.0034  [0.838 0.843 0.845 0.845 0.848]
xgb_embeds: embeddings_cpc.pickle and baseline          0.8687  0.8531  0.8843 0.0112  [0.853 0.865 0.870 0.871 0.884]            0.8649  0.8598  0.8700 0.0037  [0.859 0.863 0.867 0.867 0.868]
